timestamp,open,high,low,close,volume
1779893880000,1.3298,1.3305,1.3297,1.3305,6972.7871
1779893940000,1.3305,1.3308,1.3304,1.3304,12357.0323
1779894000000,1.3304,1.3305,1.3299,1.3305,10567.7944
1779894060000,1.3305,1.3315,1.3305,1.3314,12570.1598
1779894120000,1.3314,1.3319,1.3314,1.3316,3349.6355
1779894180000,1.3316,1.3338,1.3315,1.3334,11872.9369
1779894240000,1.3334,1.3341,1.3327,1.333,13552.6228
1779894300000,1.333,1.333,1.3321,1.3321,14088.2016
1779894360000,1.3321,1.3324,1.3321,1.3322,3277.5998
1779894420000,1.3322,1.3325,1.3322,1.3325,5411.445
1779894480000,1.3325,1.3327,1.3321,1.3325,11664.6552
1779894540000,1.3325,1.3342,1.3325,1.3342,33152.3382
1779894600000,1.3342,1.3345,1.3334,1.3345,6577.6613
1779894660000,1.3345,1.3349,1.3334,1.3334,5309.6036
1779894720000,1.3334,1.3339,1.3334,1.3339,82.9189
1779894780000,1.3339,1.3346,1.3337,1.3346,3457.8105
1779894840000,1.3346,1.3359,1.3346,1.3356,5153.1699
1779894900000,1.3356,1.3356,1.3354,1.3355,1861.5489
1779894960000,1.3355,1.3371,1.3355,1.3371,8099.7655
1779895020000,1.3371,1.3385,1.3371,1.3381,37351.4647
1779895080000,1.3381,1.3412,1.3381,1.3406,43347.1482
1779895140000,1.3406,1.3408,1.3399,1.3401,6304.9143
1779895200000,1.3401,1.3435,1.3401,1.3427,88629.9841
1779895260000,1.3427,1.3427,1.34,1.34,4482.563
1779895320000,1.34,1.3401,1.3385,1.3385,14199.032
1779895380000,1.3385,1.3386,1.3379,1.3386,2718.2417
1779895440000,1.3386,1.3406,1.3385,1.3405,34256.5382
1779895500000,1.3405,1.3405,1.3394,1.3398,54367.4586
1779895560000,1.3398,1.3403,1.3391,1.3401,14905.9491
1779895620000,1.3401,1.3401,1.3388,1.339,12475.1891
1779895680000,1.339,1.3396,1.3389,1.3389,8033.4639
1779895740000,1.3389,1.3391,1.3387,1.3391,1893.2522
1779895800000,1.3391,1.3412,1.339,1.3411,13786.4741
1779895860000,1.3411,1.3422,1.3407,1.341,10698.2053
1779895920000,1.341,1.341,1.3397,1.3399,9148.7327
1779895980000,1.3399,1.3402,1.3395,1.3396,30086.7658
1779896040000,1.3396,1.3396,1.339,1.3394,3879.3394
1779896100000,1.3394,1.3404,1.3394,1.3398,39770.4409
1779896160000,1.3398,1.3413,1.3398,1.3413,7733.5778
1779896220000,1.3413,1.3413,1.3398,1.3406,8104.909
1779896280000,1.3406,1.3409,1.34,1.34,11816.1248
1779896340000,1.34,1.3403,1.3396,1.3398,7852.6822
1779896400000,1.3398,1.3406,1.3396,1.3403,3108.4192
1779896460000,1.3403,1.3405,1.3387,1.339,20393.3662
1779896520000,1.339,1.3392,1.3376,1.3376,4319.7722
1779896580000,1.3376,1.338,1.3371,1.3375,9089.9057
1779896640000,1.3375,1.338,1.3365,1.3369,11578.5923
1779896700000,1.3369,1.338,1.3369,1.3377,10971.2637
1779896760000,1.3377,1.338,1.3373,1.338,2903.7636
1779896820000,1.338,1.338,1.3372,1.3376,4810.9351
1779896880000,1.3376,1.3379,1.337,1.3379,5173.1305
1779896940000,1.3379,1.338,1.3371,1.3376,3440.6785
1779897000000,1.3376,1.338,1.3373,1.3379,8292.2147
1779897060000,1.3379,1.3379,1.3359,1.3364,28608.6148
1779897120000,1.3364,1.3367,1.3359,1.3366,2370.4479
1779897180000,1.3366,1.337,1.3365,1.3366,5614.0232
1779897240000,1.3366,1.3367,1.3348,1.3356,24050.5875
1779897300000,1.3356,1.3357,1.335,1.3357,3448.4144
1779897360000,1.3357,1.3359,1.3354,1.3359,2514.0881
1779897420000,1.3359,1.3365,1.3359,1.3363,3760.0891
1779897480000,1.3363,1.3366,1.3361,1.3361,2708.3201
1779897540000,1.3361,1.3366,1.3361,1.3363,5668.7901
1779897600000,1.3363,1.3381,1.3363,1.3381,14572.5861
1779897660000,1.3381,1.3388,1.3375,1.338,13938.5878
1779897720000,1.338,1.338,1.3378,1.338,2256.9705
1779897780000,1.338,1.3389,1.3363,1.3363,20486.178
1779897840000,1.3363,1.3367,1.3356,1.3356,7100.6454
1779897900000,1.3356,1.3362,1.3353,1.3355,9440.4948
1779897960000,1.3355,1.3368,1.3354,1.3364,10863.2294
1779898020000,1.3364,1.3368,1.3358,1.3358,6333.6574
1779898080000,1.3358,1.3365,1.3351,1.3365,2280.4662
1779898140000,1.3365,1.3367,1.3363,1.3366,4283.3761
1779898200000,1.3366,1.337,1.3366,1.3369,1842.6554
1779898260000,1.3369,1.3376,1.3367,1.3367,3634.1095
1779898320000,1.3367,1.3373,1.3367,1.3371,3117.2286
1779898380000,1.3371,1.3375,1.3367,1.3367,2417.1265
1779898440000,1.3367,1.3367,1.3363,1.3364,1179.3978
1779898500000,1.3364,1.3365,1.3359,1.3365,6348.7485
1779898560000,1.3365,1.3365,1.3339,1.3339,16200.6641
1779898620000,1.3339,1.3339,1.3332,1.3332,22258.9411
1779898680000,1.3332,1.3338,1.3322,1.3327,17930.8899
1779898740000,1.3327,1.3328,1.3319,1.3327,7708.4226
1779898800000,1.3327,1.3335,1.3315,1.3315,34598.4237
1779898860000,1.3315,1.3325,1.3315,1.332,9559.3983
1779898920000,1.332,1.3324,1.3318,1.3318,5992.5684
1779898980000,1.3318,1.3323,1.3318,1.3322,4447.7127
1779899040000,1.3322,1.3325,1.3322,1.3323,1950.1243
1779899100000,1.3323,1.3329,1.3321,1.3324,7579.4744
1779899160000,1.3324,1.3333,1.3324,1.3333,4589.3502
1779899220000,1.3333,1.3335,1.3327,1.3328,9184.5859
1779899280000,1.3328,1.3332,1.3328,1.3332,1252.0353
1779899340000,1.3332,1.3332,1.3321,1.3321,739.9585
1779899400000,1.3321,1.3321,1.3309,1.3315,18628.5913
1779899460000,1.3315,1.3317,1.3306,1.3317,7142.105
1779899520000,1.3317,1.3322,1.3316,1.3322,3418.8198
1779899580000,1.3322,1.3323,1.3314,1.3314,8037.2708
1779899640000,1.3314,1.3314,1.33,1.3303,11656.8483
1779899700000,1.3303,1.3303,1.3284,1.3284,11773.4548
1779899760000,1.3284,1.3292,1.3282,1.3284,11589.6288
1779899820000,1.3284,1.3288,1.3284,1.3284,4412.4737
1779899880000,1.3284,1.3291,1.3282,1.3282,3591.4076
1779899940000,1.3282,1.3285,1.3282,1.3285,1667.4456
1779900000000,1.3285,1.3291,1.3282,1.3291,6351.7195
1779900060000,1.3291,1.3293,1.3285,1.3291,15923.5416
1779900120000,1.3291,1.3294,1.3291,1.3294,7772.9729
1779900180000,1.3294,1.3306,1.3294,1.3305,14075.6425
1779900240000,1.3305,1.3307,1.3302,1.3302,1249.9879
1779900300000,1.3302,1.3304,1.3295,1.3304,20586.0738
1779900360000,1.3304,1.3304,1.3297,1.3302,6366.0866
1779900420000,1.3302,1.3304,1.3301,1.3302,14270.6574
1779900480000,1.3302,1.3303,1.33,1.3301,3088.0319
1779900540000,1.3301,1.3306,1.33,1.3304,14603.5748
1779900600000,1.3304,1.3314,1.3304,1.3314,7254.2038
1779900660000,1.3314,1.3324,1.3314,1.3324,4254.6428
1779900720000,1.3324,1.3326,1.3319,1.3319,3585.1609
1779900780000,1.3319,1.3319,1.3313,1.3316,1294.6182
1779900840000,1.3316,1.3321,1.3316,1.3317,8972.894
1779900900000,1.3317,1.3325,1.3315,1.3325,8767.1463
1779900960000,1.3325,1.3326,1.3315,1.3315,5387.6155
1779901020000,1.3315,1.3328,1.3315,1.3327,3300.0036
1779901080000,1.3327,1.3327,1.332,1.332,3920.5062
1779901140000,1.332,1.3324,1.332,1.3322,2220.5326
1779901200000,1.3322,1.3325,1.3322,1.3323,2365.0111
1779901260000,1.3323,1.3324,1.33,1.33,55509.5633
1779901320000,1.33,1.33,1.3288,1.3296,10200.2038
1779901380000,1.3296,1.3306,1.3291,1.3304,20171.8901
1779901440000,1.3304,1.331,1.3303,1.3309,4511.9478
1779901500000,1.3309,1.331,1.3305,1.3307,2773.1466
1779901560000,1.3307,1.3308,1.329,1.329,1217.2735
1779901620000,1.329,1.329,1.3271,1.3272,23008.4065
1779901680000,1.3272,1.3276,1.3265,1.3274,19061.2388
1779901740000,1.3274,1.3274,1.3257,1.3262,19262.4261
1779901800000,1.3262,1.3267,1.3259,1.3265,15882.2116
1779901860000,1.3265,1.3265,1.3245,1.3245,26931.507
1779901920000,1.3245,1.3249,1.3239,1.324,24803.5326
1779901980000,1.324,1.3247,1.324,1.3241,6346.6309
1779902040000,1.3241,1.3241,1.321,1.3214,33216.295
1779902100000,1.3214,1.322,1.3198,1.3206,51516.5042
1779902160000,1.3206,1.3213,1.3201,1.3213,24994.8552
1779902220000,1.3213,1.3218,1.3209,1.3218,17031.3766
1779902280000,1.3218,1.3222,1.3217,1.3222,6624.7945
1779902340000,1.3222,1.3222,1.3215,1.3219,6922.1817
1779902400000,1.3219,1.3228,1.3219,1.3228,5275.9891
1779902460000,1.3228,1.3244,1.3227,1.3244,12842.4852
1779902520000,1.3244,1.325,1.3238,1.3238,6200.8444
1779902580000,1.3238,1.3246,1.3238,1.3242,6941.935
1779902640000,1.3242,1.3249,1.3242,1.3249,1439.6506
1779902700000,1.3249,1.3249,1.3241,1.3248,5479.897
1779902760000,1.3248,1.3248,1.3235,1.3236,7345.374
1779902820000,1.3236,1.3236,1.3221,1.3224,16549.36
1779902880000,1.3224,1.3242,1.3224,1.3242,3011.9371
1779902940000,1.3242,1.3245,1.3242,1.3244,1675.1862
1779903000000,1.3244,1.3244,1.3234,1.3235,7320.6413
1779903060000,1.3235,1.3244,1.3235,1.324,10004.9345
1779903120000,1.324,1.324,1.3231,1.3231,2692.6986
1779903180000,1.3231,1.3245,1.3231,1.3244,8864.8559
1779903240000,1.3244,1.3247,1.3242,1.3247,3434.9441
1779903300000,1.3247,1.3247,1.3228,1.3235,7309.5753
1779903360000,1.3235,1.3238,1.3234,1.3238,10124.6817
1779903420000,1.3238,1.3244,1.3238,1.3244,6340.9067
1779903480000,1.3244,1.3253,1.3236,1.3253,17393.7696
1779903540000,1.3253,1.3255,1.3248,1.3248,11658.689
1779903600000,1.3248,1.3249,1.3236,1.3236,5162.1659
1779903660000,1.3236,1.3239,1.323,1.3234,5521.6582
1779903720000,1.3234,1.3234,1.3214,1.3216,3529.5171
1779903780000,1.3216,1.323,1.3216,1.3228,6167.3541
1779903840000,1.3228,1.3228,1.3218,1.3218,462.3227
1779903900000,1.3218,1.3224,1.3216,1.3221,8911.2643
1779903960000,1.3221,1.3228,1.3215,1.3228,7107.727
